Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.39112,-0.004586,-0.30234,0,0,0,57.511,0.61783,9.8505E-05,-5.1567E-07,1.5192,-0.00061905,1.484,0,0,0,0,0,0,package://Double_arm_robot/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://Double_arm_robot/meshes/base_link.STL,,底盘-1;HDB136B-电机直连-单滑块轻载型-600-1,坐标系1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
L_Link_1,-0.024771,-0.0043237,0.28739,0,0,0,3.1457,0.067494,-2.2004E-06,6.2878E-05,0.067114,9.2361E-09,0.0024915,0,0,0,0,0,0,package://Double_arm_robot/meshes/L_Link_1.STL,1,1,1,1,0,0,0,0,0,0,package://Double_arm_robot/meshes/L_Link_1.STL,,左机械臂-3,坐标系1,基准轴1,L_Joint_1,prismatic,0,0,0,0,0,0,base_link,-1,0,0,0,0,0,0,,,,,,,,
L_Link_2,-0.067025,-0.078651,0.101,0,0,0,1.5139,0.0054325,-0.00072379,0.0002593,0.0024927,0.0007735,0.0041891,0,0,0,0,0,0,package://Double_arm_robot/meshes/L_Link_2.STL,1,1,1,1,0,0,0,0,0,0,package://Double_arm_robot/meshes/L_Link_2.STL,,滑台-4;左臂-1,坐标系2,基准轴2,L_Joint_2,prismatic,-0.04907,-4.0933E-05,0.06775,0,0,0,L_Link_1,0,0,1,0,0,0,0,,,,,,,,
L_Link_3,-5.6684E-05,0.26922,0.00033286,0,0,0,0.29852,0.0013422,-8.2507E-08,3.3034E-07,9.1593E-05,7.0197E-07,0.0013466,0,0,0,0,0,0,package://Double_arm_robot/meshes/L_Link_3.STL,1,1,1,1,0,0,0,0,0,0,package://Double_arm_robot/meshes/L_Link_3.STL,,二级臂-1;腕关节a-1,坐标系3,基准轴3,L_Joint_3,prismatic,-0.11137,-0.16079,0.16664,-0.33807,-0.088637,-0.24666,L_Link_2,0,1,0,0,0,0,0,,,,,,,,
L_Link_4,1.6778E-06,0.064046,2.4249E-05,0,0,0,0.24856,0.00012628,-3.9951E-10,9.3763E-08,0.00014245,-9.2122E-09,0.00019433,0,0,0,0,0,0,package://Double_arm_robot/meshes/L_Link_4.STL,1,1,1,1,0,0,0,0,0,0,package://Double_arm_robot/meshes/L_Link_4.STL,,腕关节b-1,坐标系4,基准轴4,L_Joint_4,revolute,0,0.38477,0.00041604,0,0,0,L_Link_3,0,-1,0,0,0,0,0,,,,,,,,
L_Link_5,0.00049424,0.031226,-0.045011,0,0,0,0.058132,5.4412E-05,8.3931E-13,-1.3302E-10,8.4403E-05,-4.8478E-09,3.265E-05,0,0,0,0,0,0,package://Double_arm_robot/meshes/L_Link_5.STL,1,1,1,1,0,0,0,0,0,0,package://Double_arm_robot/meshes/L_Link_5.STL,,腕关节c-1,坐标系5,基准轴5,L_Joint_5,revolute,-0.00073394,0.12758,0.045,0,0,0,L_Link_4,0,0,-1,0,0,0,0,,,,,,,,
L_Link_6,1.8034E-07,0.056195,5.7197E-05,0,0,0,0.28245,8.7418E-05,1.8572E-11,1.0663E-08,0.00010574,3.9999E-08,0.00011382,0,0,0,0,0,0,package://Double_arm_robot/meshes/L_Link_6.STL,1,1,1,1,0,0,0,0,0,0,package://Double_arm_robot/meshes/L_Link_6.STL,,腕关节e-2;柔性自适应四爪-2,坐标系6,基准轴6,L_Joint_6,revolute,0.00073394,0.040168,-0.045,0,0,0,L_Link_5,0,-1,0,0,0,0,0,,,,,,,,
R_Link_1,0.024771,-0.0042446,0.28739,0,0,0,3.1457,0.067494,2.2064E-06,-6.2878E-05,0.067114,2.248E-08,0.0024915,0,0,0,0,0,0,package://Double_arm_robot/meshes/R_Link_1.STL,1,1,1,1,0,0,0,0,0,0,package://Double_arm_robot/meshes/R_Link_1.STL,,右机械臂-1,坐标系7,基准轴7,R_Joint_1,prismatic,0.78482,-8.1869E-05,0,0,0,0,base_link,1,0,0,0,0,0,0,,,,,,,,
R_Link_2,0.067023,-0.078652,0.101,0,0,0,1.5139,0.0054325,0.00072377,-0.00025932,0.0024927,0.0007735,0.0041891,0,0,0,0,0,0,package://Double_arm_robot/meshes/R_Link_2.STL,1,1,1,1,0,0,0,0,0,0,package://Double_arm_robot/meshes/R_Link_2.STL,,滑台-6;右臂-1,坐标系8,基准轴8,R_Joint_2,prismatic,0.04907,4.0935E-05,0.06775,0,0,0,R_Link_1,0,0,-1,0,0,0,0,,,,,,,,
R_Link_3,-5.6684E-05,0.26922,0.00033286,0,0,0,0.29852,0.0013422,-8.2507E-08,3.3034E-07,9.1593E-05,7.0197E-07,0.0013466,0,0,0,0,0,0,package://Double_arm_robot/meshes/R_Link_3.STL,1,1,1,1,0,0,0,0,0,0,package://Double_arm_robot/meshes/R_Link_3.STL,,二级臂-2;腕关节a-2,坐标系9,基准轴9,R_Joint_3,prismatic,0.11137,-0.16079,0.16664,-0.33807,0.088637,0.24666,R_Link_2,0,1,0,0,0,0,0,,,,,,,,
R_Link_4,1.6772E-06,0.064046,2.425E-05,0,0,0,0.24856,0.00012628,-4.1672E-10,9.3775E-08,0.00014245,-9.2221E-09,0.00019433,0,0,0,0,0,0,package://Double_arm_robot/meshes/R_Link_4.STL,1,1,1,1,0,0,0,0,0,0,package://Double_arm_robot/meshes/R_Link_4.STL,,腕关节b-2,坐标系10,基准轴10,R_Joint_4,revolute,0,0.38477,0.00041604,0,0,0,R_Link_3,0,-1,0,0,0,0,0,,,,,,,,
R_Link_5,-0.0002397,0.033058,-0.046211,0,0,0,0.058132,5.4412E-05,4.8396E-13,-1.3289E-10,8.4403E-05,-4.8477E-09,3.265E-05,0,0,0,0,0,0,package://Double_arm_robot/meshes/R_Link_5.STL,1,1,1,1,0,0,0,0,0,0,package://Double_arm_robot/meshes/R_Link_5.STL,,腕关节c-2,坐标系11,基准轴11,R_Joint_5,revolute,0,0.12575,0.0462,0,0,0,R_Link_4,0,0,-1,0,0,0,0,,,,,,,,
R_Link_6,2.3467E-05,0.053535,-0.00013448,0,0,0,0.20529,0.00011254,2.7138E-08,6.6416E-06,8.4812E-05,-6.1301E-11,8.4031E-05,0,0,0,0,0,0,package://Double_arm_robot/meshes/R_Link_6.STL,1,1,1,1,0,0,0,0,0,0,package://Double_arm_robot/meshes/R_Link_6.STL,,腕关节e-1;打叶末端-1,坐标系12,基准轴12,R_Joint_6,revolute,0,0.042,-0.0462,0,0,0,R_Link_5,0,-1,0,0,0,0,0,,,,,,,,
